source_file,event_timestamp,calib_horizontal_ratio,calib_vertical_ratio,calib_head_neutral_yaw,calib_head_neutral_pitch,t_gaze_outside_frames,f_gaze_exits,NR_gaze_reversals,NH_head_suspicious,label
behavior_log1.json,2025-05-22 16:24:01,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:24:02,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:24:15,,,,,11,2,3,0,1
behavior_log1.json,2025-05-22 16:24:16,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:24:18,,,,,20,1,0,0,1
behavior_log1.json,2025-05-22 16:24:21,,,,,16,4,7,0,1
behavior_log1.json,2025-05-22 16:24:25,,,,,7,4,13,0,1
behavior_log1.json,2025-05-22 16:24:39,,,,,9,4,9,0,1
behavior_log1.json,2025-05-22 16:24:42,,,,,10,5,12,0,1
behavior_log1.json,2025-05-22 16:24:59,,,,,11,4,7,0,1
behavior_log1.json,2025-05-22 16:25:01,,,,,16,3,8,0,1
behavior_log1.json,2025-05-22 16:25:04,,,,,15,3,4,0,1
behavior_log1.json,2025-05-22 16:25:21,,,,,14,4,6,0,0
behavior_log1.json,2025-05-22 16:25:28,,,,,13,6,10,0,0
behavior_log1.json,2025-05-22 16:33:28,,,,,7,2,5,0,1
behavior_log1.json,2025-05-22 16:33:36,,,,,10,6,15,0,1
behavior_log1.json,2025-05-22 16:33:38,,,,,11,6,15,0,1
behavior_log1.json,2025-05-22 16:33:41,,,,,10,5,12,0,0
behavior_log1.json,2025-05-22 16:34:43,,,,,11,5,10,0,0
behavior_log1.json,2025-05-22 16:34:46,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:48,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:51,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:52,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:53,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:55,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:58,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:34:59,,,,,6,3,7,0,0
behavior_log1.json,2025-05-22 16:35:14,,,,,2,2,4,0,0
behavior_log1.json,2025-05-22 16:35:16,,,,,4,3,5,0,0
behavior_log1.json,2025-05-22 16:35:40,,,,,3,2,4,0,0
behavior_log1.json,2025-05-22 16:35:46,,,,,2,2,7,0,0
behavior_log1.json,2025-05-22 16:35:49,,,,,1,1,2,0,0
behavior_log1.json,2025-05-22 16:35:51,,,,,0,0,0,0,0
behavior_log1.json,2025-05-22 16:35:56,,,,,5,3,6,0,0
behavior_log1.json,2025-05-22 16:37:39,,,,,9,4,8,0,0
behavior_log1.json,2025-05-22 16:37:50,,,,,11,3,8,0,0
behavior_log1.json,2025-05-22 16:42:30,,,,,12,3,5,0,0
behavior_log1.json,2025-05-22 16:42:36,,,,,14,3,4,0,0
behavior_log1.json,2025-05-22 16:42:39,,,,,19,2,2,0,0
behavior_log1.json,2025-05-22 16:42:41,,,,,20,1,0,0,0
behavior_log1.json,2025-05-22 16:43:02,,,,,10,1,2,0,0
behavior_log1.json,2025-05-22 16:45:14,,,,,6,3,5,0,1
behavior_log1.json,2025-05-22 16:45:16,,,,,12,6,10,0,1
behavior_log1.json,2025-05-22 16:45:41,,,,,10,4,10,0,1
behavior_log1.json,2025-05-22 16:45:43,,,,,13,6,13,0,1
behavior_log1.json,2025-05-22 16:46:07,,,,,12,6,12,0,1
behavior_log1.json,2025-05-22 16:46:09,,,,,15,4,8,0,1
behavior_log1.json,2025-05-22 16:46:23,,,,,14,3,6,0,1
behavior_log1.json,2025-05-22 16:46:26,,,,,11,5,12,0,1
